Time (ms),Motor Speed,PH,Temperature
0,,45.683384,
1,63.349045,,
2,7.1758986,,
3,,2.495277,
4,41.721474,,
5,69.05547,,
6,46.447712,,
7,62.263046,,
8,,98.6207,
9,66.807434,,
10,45.6661,,
11,,47.739147,
12,58.21531,,
13,79.36514,,
14,,14.163518,
15,,42.443584,
16,97.557434,,
17,14.601887,,
18,84.30719,,
19,68.86342,,
20,34.445,,
21,,91.21519,
22,75.453156,,
23,19.831635,,
24,,95.887344,
25,,93.25159,
26,,46.272884,
27,,2.6628613,
28,83.50803,,
29,62.469124,,
30,,84.53992,
31,,14.29845,
32,78.96669,,
33,,41.17487,
34,12.8586,,
35,,2.139312,
36,7.1883974,,
37,,72.41307,
38,,33.83649,
39,42.295586,,
40,,15.521532,
41,49.242825,,
42,98.846596,,
43,,84.65811,
44,32.90165,,
45,,80.33247,
46,,60.795063,
47,,72.4973,
48,44.681335,,
49,5.211103,,
50,63.204437,,
51,,43.221016,
52,,55.99276,
53,,49.256004,
54,25.442345,,
55,,56.47351,
56,19.341833,,
57,,55.857964,
58,,7.0697308,
59,75.93369,,
60,,70.589836,
61,71.194824,,
62,,73.05242,
63,,51.971333,
64,,51.560413,
65,,85.6568,
66,35.97445,,
67,,13.74591,
68,97.216934,,
69,55.20539,,
70,21.410751,,
71,81.38345,,
72,,30.687105,
73,,35.81119,
74,88.26186,,
75,,51.542545,
76,40.368988,,
77,64.60378,,
78,37.122284,,
79,,92.98136,
80,,9.934258,
81,,12.480629,
82,56.649162,,
83,12.663585,,
84,,34.25202,
85,14.659822,,
86,90.41698,,
87,,17.491573,
88,82.08807,,
89,58.025024,,
90,54.889065,,
91,,1.9311607,
92,59.891808,,
93,67.099075,,
94,2.9056668,,
95,,37.593067,
96,90.065094,,
97,,84.09619,
98,6.483322,,
99,,27.261835,
100,,41.813995,
101,,82.74078,
102,,27.739548,
103,,12.913906,
104,43.01687,,
105,,90.40432,
106,57.401432,,
107,,94.94218,
108,57.498943,,
109,18.599934,,
110,26.626366,,
111,28.105324,,
112,33.685703,,
113,17.987656,,
114,39.757526,,
115,8.6458025,,
116,,17.814356,
117,80.78159,,
118,,33.15635,
119,56.57128,,
